,House Name,Price $
38223,Luxury West Village private Townhouse 5B Garden,3000
38358,Massive Loft in the Heart of Union square,3000
38456,2nd floor of 2-family house available for December,1500
38498,"LUXURIOUS 5 bedroom, 4.5 bath home",2999
38591,1500 SQ FT Williamsburg  Penthouse,1600
38947,Times Square Palace,3000
39139,Beauitful spacious Loft apartment,1350
39243,Furnished 1000sq large 2bed + office in Harlem,3200
39736,STEPS FROM BALL DROP IN TIME SQR! Sleeps up to 8!,1000
39742,Cost-effective nice room near Columbia University!,1350
39766,Ashly’s apartment,1000
39814,5 Star Manhattan Luxury St. Regis Hotel King Suite,1075
39846,CQ 1 Bedroom,3000
39912,Luxury on 5th Ave St. Regis 2 King BR Suite 5 Star,1999
40086,Magnificent 5 Bedroom Brooklyn Townhouse,1750
40152,Tribeca Loft,1000
40379,Shoot in Eccentric Loft with tons of Natural Light,1080
40412,Amazing Soho Apartments with Private Backyard,1299
40433,2br - The Heart of NYC: Manhattans Lower East Side,9999
40586,Private bedroom/Bathroom in a 2 bedroom apartment,2500
40597,Magnificent 6 Bedroom/5 Bathroom Townhouse,1150
40638,"Meatpacking Events, Popups, Baby Showers, PhotoSht",1050
40734,Wyndham Midtown 45 New York City Presidential,1295
40764,Photo Studio & Creative Space,1200
41181,East VillageTownhouse for 30 day minimum rentals.,1500
41214,Harrison Green by (Hidden by Airbnb),1978
41215,Prospect Place III by (Hidden by Airbnb),1494
41216,West 88th Street by (Hidden by Airbnb),3512
41283,Greenwich Village Luxury Loft,1000
41580,"SPACIOUS Floor-Through Loft in Flatiron, NYC",1200
41647,Celebrity Central Park townhouse designer's touch.,1497
41715,Sunny 3 Story 5BR 5Bath Townhouse Upper East Side!,1250
41770,Recently Renovated & Furnished Apt- Room available,2850
42172,My place 4 u,1315
42523,70' Luxury MotorYacht on the Hudson,7500
42542,West 84th Street by (Hidden by Airbnb),3613
42680,Majestic Mansion LifeStyle :),2600
42736,30 days minimum Time square West Midtown apartment,4100
42912,Alphabet Place II by (Hidden by Airbnb),1145
42915,Soho Loft III by (Hidden by Airbnb),1306
43009,Midtown Manhattan great location (Gramacy park),5100
43201,Coming soon: stunning Upper West Side apartment,1000
43563,Prime Location!Cozy 2BR in West Village!,1799
43670,Beautiful private Brooklyn room with kitchenette,4200
44034,3000 sq ft daylight photo studio,6800
44224,Amazing 3BR private triplex in historic townhouse!,1000
44429,Room with sofa bed or air mattress,2000
45185,Beautiful Brooklyn Brownstone Production Space,2500
45414,Great Duplex in Gramercy (private bedroom + bath),1900
45572,Central Hall Colonial with Free Parking Bus EXP NY,1250
45610,Amazing Townhouse Experience with Private Garden,1000
45666,Gem of east Flatbush,7500
45710,Times Square 3BR Loft! Amazing Location!,2500
45867,bay ridge & sunset park furnished apartment,4200
45891,entire apartment for rent,1800
45967,7BR Lux Townhouse w/ Patio! Best Village Location!,1099
46140,Bedroom in heart of Cobble Hill BK w/ private roof,1750
46533,Amazing Chelsea 4BR Loft!,2995
46614,Northside Williamsburg Stunner,4500
46710,Cool Summer Vibes UWS Pent House w/ rooftop,1200
46895,Duplex Residence with Breathtaking NYC View!,1750
47350,wait until later,2000
47391,"Prospect Park Historic 1BR near 2,5,Q, B, S trains",1400
47548,Sunny 5Br 4Ba - Townhouse on Upper East Side,1100
47670,Cozy and Clean entire home,1500
47869,Private Townhome in Midtown East near UN,1600
48043,Luxury TriBeCa Apartment at an amazing price,6500
48050,Chelsea Loft Living - Perfect for LARGE groups,1050
48080,Luxury apartment 2 min to times square,1308
48282,VJ'S 5 HOUR YACHT TOUR,1000
48304,Next to Times Square/Javits/MSG! Amazing 1BR!,2999
48305,2BR Near Museum Mile! Upper East Side!,1999
48523,"Tasteful & Trendy Brooklyn Brownstone, near Train",1369
48535,"Stunning & Stylish Brooklyn Luxury, near Train",1749
