,House Name,Price $
120,Sugar Hill Rest Stop ,170
121,3 Story Town House in Park Slope,400
122,apartment next to Central park,170
123,East Village Sanctuary,100
124,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,75
125,Modern Apt with Spectacular Views,90
126,Garden studio in the Upper East Sid,150
127,Secluded Master Bedroom in Beautiful Huge Apt,85
128,B & B Room 1,70
129,ACCOMMODATIONS GALORE #1,120
130,Sunny Room in New Condo,89
131,Stylish & Sleek Apartment Near SoHo!,185
132,NYC artists’ loft with roof deck,50
133,Unique & Charming small 1br Apt. LES,105
134,Most Central Location!,130
135,Luminous Beautiful West Village Studio,115
136,Sanctuary in East Flatbush,77
137,Room with En Suite Bathroom & Deck,76
138,FLAT MACDONOUGH,125
139,Huge Private  Floor at The Waverly,135
140,"Modern Greenpoint, Brooklyn Apt",250
141,"Sun-drenched, artsy modernist 1 BDRM duplex",199
142,"Sunny, Cobble Hill Apartment",140
143,Fully Furnished Basement Apartment,140
144,FLAT MACDONOUGH GARDEN,115
145,Light filled Williamsburg Apartment,160
146,Retreat in Williamsburg,195
147,NYC Zen,195
148,Cozy BR in Wiliamsburg 3 Bedroom,80
149,Sunny Room in Old Historical Brooklyn Townhouse,44
150,Sun Filled Classic West Village Apt,156
151,Lg Rm in Historic Prospect Heights,85
152,Classic Artist Loft Williamsburg,125
153,Great location. Spacious on PROSPECT PARK,115
154,Private Bdrm/Bathrm. New! Elevator!,69
155,"Sunny, clean 1 bdrm in W. Village",225
156,Great location in Williamsburg,125
157,Light and Airy Upper East Side 1 BDR apartment,219
158,Luxury Brownstone in Boerum Hill,475
159,CENTRAL PARK LOFT all for YOU,99
160,Indie-Chic Share In Williamsburg,69
161,"A room w/ a Manhattan view, longer stay",79
162,"Private, Large & Sunny 1BR w/W&D",135
163,Luxurious Condo in DUBMO with View,250
164,Charming & Cozy midtown loft any WEEK ENDS  !!!,250
165,* Spacious GARDEN Park Slope Duplex* 6 people max,250
166,Convenient cozy cheap apt Manhattan,80
167,Parlor Room In Victorian Townhouse,70
168,House On Henry (2nd FLR Suite),165
169,New York room with a view,70
170,Sunny cozy room in Brklyn townhouse,50
171,Room with a View,40
172,Light+Open+Airy+Rustic+Modern Loft,150
173,West Inn 2 - East Village,125
174,Financial District Luxury Loft,196
175,BROOKLYN VICTORIAN STYLE SUITE.....,110
176,Your own Lovely West Village Studio,170
177,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,165
178,Greenwich Village Stylish Apartment,150
179,Clean and Cozy Harlem Apartment,100
180,"Fort Greene, Brooklyn: Center Bedroom",65
181,Beautiful Queens Brownstone! - 5BR,350
182,Couldn't Be Closer To Columbia Uni,99
183,Bright Spacious Luxury Condo,200
184,Park Slope haven 15 mins from Soho,150
185,SAFE  AND BEAUTIFUL ACCOMODATION,90
186,Large Room in private Brownstone in Park Slope,120
187,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",75
188,"LARGE, COMFY 1BDR W/CHARACTER!!!",175
189,Chelsea Studio sublet 1 - 2 months,125
190,LUX APT IN TIMES SQUARE NEW BUILDING,275
191,Designer 1 BR Duplex w/ Terrace- Spectacular Views,299
192,Lovely Apt & Garden;  Legal;  Best Area; Amenities,135
193,1 Bedroom in 2 Bdrm Apt- Upper East,130
194,Lower East Side $57~/night,83
195,Prime Location in Manhattan,123
196,( F) Excellent/Pvt Rm,55
197,"Quiet, sunny Midtown Manhattan apt.",195
198,Big Room/Washer-Dryer/Wifi/AC/JMZ,80
199,cozy studio with parking spot,98
200,Clean and convenient 2BR apartment,140
201,3 floors of luxury!,265
202,The Institute—Heart of Williamsburg,249
203,MIDTOWN WEST - Large alcove studio,105
204,Beautiful Uptown Manhattan apartmnt,200
205,Sml Rm in pr Brst  Park Sl great for Med/students,100
206,City Room - Private Penthouse Apt.,121
207,Cozy bedroom by Yankee Stadium,45
208,Great apartment with private bathroom and entrance,100
209,Private Garden Apt • New Renovation,140
210,Modern comfort in art infused landmark Brownstone,71
211,"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH",130
212,Sleek & Comfortable Soho Apt,199
213,Spacious Williamsburg Share w/ LOFT BED,69
214,Cozy 2 br in sunny Fort Greene apt,68
215,Cozy East Village Railroad 1 Bed!,130
216,1 Bedroom Loft w/ Private Roof Deck,195
217,City Room - Private & Comfy Bedroom,64
218,Elegant NYC Pad,140
219,"Clean & bright 1BR in Cobble Hill, GREAT location!",159
220,"Modern, Large East Village Loft",189
221,"Great new apt, close to everything",250
222,Quiet & Clean Retreat in the City,239
223,Stylish Large Gramercy Loft!,305
224,The Brownstone-Luxury 1 Bd Apt/NYC,155
225,PRIVATE Room on Historic Sugar Hill,60
226,South Slope Green,135
227,"17 Flr. Manhattan Views, Nr. Subway",120
228,"Spacious 1BR, Adorable Clean Quiet",150
229,"Nice, clean, safe, convenient 3BR",140
230,Franklin St Flat in Trendy Greenpoint Brooklyn,135
231,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",250
232,One bedroom Apt. in NYC,250
233,"Beautiful, elegant 3 bed SOHO loft",500
234,Spacious Greenwich Village Apt,225
235,SpaHa Studio Monthly Rental,125
236,City Room - Private Luxury Suite,92
237,Private Room/bath Luxurious Harlem,175
238,The gem of the East Village,99
239,"Bright and spacious, garden below!",195
240,ACCOMMODATIONS GALORE #2,140
241,Colorful Private One Bedroom Apt,135
242,Huge Chelsea Loft,500
243,Great room in great location,80
244,Exclusive Room with Private Bath in  LES,120
245,"Quiet, clean midtown apt w. elevato",110
246,BK Sweet Suite w/Kitchen&FullBath,65
247,Great East Village Apartment Rental,130
248,BROWNSTONE SUNDRENCHED BEAUTY,99
249,A SpeciaL!! Private Room in NY,36
250,B NYC Staten Alternative...,37
251,C Private Room By The Ferry,37
252,Smallest House In The Village,175
253,Beautiful modern studio apartment in heart of NYC,205
254,Beautiful Landmarked Duplex,285
255,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,59
256,D Private Che@p Room 2 Explore NYC,36
257,Safe cute near subway& Manhattan NY NY retro style,99
258,Large and Cozy Private Bedroom,39
259,Small tidy bedroom in duplex,60
260,LL3,90
261,DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,105
262,"Private, Large & Sunny Top Floor Apt  w/W&D",135
263,Cottage in the Village,390
264,BEDROOM1 FOR RENT 10min from Manhan,70
265,"HOSTING YOUR  SUNNY, SPACIOUS NYC ROOM",75
266,Williamsburg near soho. / loftbed,60
267,Prime East Village 1 Bedroom,200
268,BROOKLYN  STUDIO APARTMENT,100
269,BEDROOM2 FOR RENT  10min from Manh,70
270,cozy bedroom in lovely garden apt,110
271,Crown Heights Garden Apt.,60
272,Amazing  Sunny & Breezy Home In the Heart of  NYC,90
273,ENJOY Downtown NYC!!,68
274,Charming UWS Treehouse Apt,115
275,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,75
276,"Room in S3rd/Bedford, Williamsburg",60
277,CHARMING EAST VILLAGE 2 (or 1) BR,129
278,Farmhouse Apartment in Williamsburg,130
279,Bright+Spacious Williamsburg Abode!,95
280,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",75
281,Beautiful 1 Bedroom Apt Park Slope,175
282,CHARMING CARROLL GARDENS APT.,190
283,Private Bedroom Brownstone Brooklyn,49
284,East Village Loft with Piano & Patio,212
285,Lower East Side Magic Room,95
286,**Fantastic Williamsburg Apt**,140
287,West Harlem Home Base - Eco-Apt.,135
288,Charming Garden Apt in Park Slope,150
289,"Lovely, Modern, Garden Apartment",190
290,Central Park 1BR sunny condo,124
291,Cozy Garden Apartment  in Williamsburg,135
292,SoHa comfort-by NW Central Park!,122
293,Cozy room in Upper West Side,109
294,Cozy Private Room in Apartment,85
295,The Cozy Brownstone Inn (discount)!,145
296,Prewar Penthouse w Private Terrace,195
297,Designer 2.5 BR Loft in Carroll Gardens by Subway,250
298,Bright Beautiful Brooklyn,125
299,Unique spacious loft on the Bowery,575
300,"Nice renovated apt, prime location!",150
301,Brooklyn Writer's Nook,70
302,Private Bedroom in Large NYC Apartment,90
303,"Large, Sunny Room East Village NYC",65
304,Great Large 3 BR/2 Bath Duplex with Private Patio!,500
305,All That Jazz. Uptown style on Sugar Hill.,250
306,Bright and lovely 1 bdrm apt in LES,125
307,Beautiful One Bed West Village - 4 Month Special,200
308,Gigantic Private Brooklyn Loft!,229
309,Condo Apartment with laundry in unit,90
310,1BR: See Central Park from Terrace!,110
311,Private room in cozy Greenpoint,59
312,Food & Music Dream Apartment in Williamsburg,195
313,French Garden cottage off Bedford,169
314,Alcove Studio w/ outdoor Patio Deck,113
315,Luxury 3 bed/ 2 bath apt in Harlem w/ terrace,250
316,One Bedroom Mini studio - Free WIFI,115
317,"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn",55
318,BROOKLYN > Guest Room w/ King Bed in Williamsburg,69
319,Bright Cozy Chinatown Studio Apt.,150
320,Eveland the Place to Stay & Enjoy a 5-⭐️ 2bdrm,169
321,Superior @ Box House,179
322,Hells Kitchen Garden of Eden,150
323,"Historic House Boerum Hill, BK, NYC",135
324,Lovely 3 bedroom in Italianate Brownstone w/garden,350
325,"Williamsburg HUGE, PRIVATE BATH - Next to Train!",120
326,Cozy room in East Village with AC,71
327,Duplex w/ Terrace @ Box House Hotel,349
328,Loft w/ Terrace @ Box House Hotel,349
329,Spacious 3 Bedroom Duplex in Park Slope,165
330,Loft w/ Terrace @ Box House Hotel,249
331,Columbia Castle in Brooklyn Heights,100
332,Columbia Castle 2 BR,200
333,"Charming Artist's Flat, East Village",169
334,BEAUTIFUL 2 BEDROOM APARTMENT,185
335,Brooklyn Cove Studio Apt w/ Garden!!,65
336,"Ft. Greene garden gem, large and convenient",130
337,Williamsburg penthouse with private roof cabana,199
338,East Village Designer's 1-BR APT,225
339,Superior @ Box House,179
340,So Much Room in Brooklyn,150
341,Large Studio--Heart of East Village,139
342,Huge.Bright.Clean.Safe. Private Room,95
343,Garden 1BR/1BA Brownstone Apt - 2 blocks to subway,79
344,MODERN SPACIOUS 2 BR APT DOWNTOWN MANHATTAN,150
345,The Brooklyn Waverly,650
346,"WONDERFUL, COMFORTABLE STUDIO",90
347,MAISON DES SIRENES 2,120
348,"Modern, Safe, Clean, Bright Room in Astoria for 2",80
349,LARGE 1BR (CONV 2BR) CROWN HEIGHTS,100
350,The Vernon On Greene,175
351,"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt",120
352,Lovely 1BR in Tree-lined WBurg,140
353,Spacious Loft in Clinton Hill,200
354,"The Brooklyn Waverly, One Bedroom",165
355,LOVELY APARTMENT IN THE HEART OF NY,125
356,Groovy NYC Chelsea Pad,130
357,Comfortable Cozy Space in El Barrio,65
358,Sunny Bklyn Jewel  Fort Greene JULY  - AUG 2019,123
359,"MANHATTAN Neat, Nice, Bright ROOM",67
360,Bienvenue,50
361,Large Brand New Park Slope 1BR,130
362,Colorful Artistic Williamsburg Apt,100
363,UWS Brownstone Near Central Park,212
364,Artsy TopFloor Apt in PRIME BEDFORD Williamsburg,190
365,2 BR w/ Terrace @ Box House Hotel,599
366,BOHEMIAN EAST VILLAGE 2 BED HAVEN,249
367,Oceanfront Apartment in Rockaway,70
368,Private 1-Bedroom Apt in Townhouse,100
369,Bright Room With A Great River View,60
370,Tree lined block modern apartment,135
371,Sweet Historic Greenpoint Duplex,175
372,Riverside Charm with Fire Place,120
373,"Very Central, Nomad/Chelsea Loft Studio",169
374,Sunny 3BR Apt Ideal for Family  ,165
375,Cozy Private Room in West Harlem!,90
376,UES Quiet & Spacious 1 bdrm for 4,225
377,ALL ABOUT A VERY COMFORTABLE ROOM..,95
378,Brooklyn- Crown Heights Garden Apt.,55
379,Cozy room in Time Square!,85
380,Large Park Slope Townhouse Duplex,199
381,Lower East Side 2 Bedroom Apt,211
382,"Manhattan Studio, Perfect Location",145
383,Sun-Drenched Hamilton Hts Jewel   ,65
384,Your Stunning Vacation Apartment!,99
385,1 BDRM Apt-Weekend Sublease,110
386,ROOM WITH A  KITCHENETTE,80
387,"Conveniently Located, Sunny Brooklyn Heights!",150
388,Style in Stuyvesant Heights,110
389,Heart of Meatpacking & Chelsea,290
390,Spacious East Village apt near it all,87
391,Williamsburg apartment right by the subway,190
392,Spacious Brooklyn Loft - 2 Bedroom,200
393,"Park Slope Apt:, Spacious 2 bedroom",165
394,NYC Studio for Rent in Townhouse,110
395,⚡Quiet Gem w/roof deck on NY's Hottest Street⚡,395
396,Authentic New York City Living ,99
397,SUPER BIG AND COZY PRIVATE BEDROOM,39
398,☆Massive DUPLEX☆ 2BR & 2BTH East Village 9+ Guests,189
399,Gorgeous Upper West Side Apartment,85
400,"Luxe, Spacious 2BR 2BA Nr Trains",260
401,City Room - Street View Apt,122
402,Cozy and Bright One Bedroom in BK,165
403,Forest Hills Apt minutes to midtown Manhattan,97
404,Spacious West Village 1 b/room King,170
405,Perfect Williamsburg Summer Haven,125
406,Midtown cozy convenient,130
407,Prime Williamsburg Apartment,225
408,"Private, spacious room in Brooklyn",50
409,Garden apartment close to Manhattan,170
410,The Ground Studio - West Side,132
411,Stunning arty 3200sf 3FLR+3BR townhome w/terrace,250
412,Sunny and Spacious Designer's Home,141
413,"Spacious,Sunny, private one bedroom",64
414,Truly Amazing Oasis In The City,249
415,Holiday Time in NY - Oh My!!,79
416,"East Village, King-Sized, Charmer",185
417,Affordable Furnished Apartment,120
418,Architect's Brownstone,495
419,LUXURY SOHO 2 Bedroom Apt ,375
420,Charming Nolita Apartment!!,175
421,"EAST VILLAGE STUDIO, sunny & quiet",150
422,LUXURY OF THE HORIZON,259
423,1 Bdrm in 4 Bdrm dupelx/roof deck,96
424,The Heart of Prime Williamsburg,145
425,Parisian apartment in Chelsea,200
426,Cozy 2 Bedroom with Private Garden,95
427,Three-bedroom house in a quiet neighborhood,250
428,Beautiful Duplex w/Private Garden,295
429,NYC - Sunny Greenwich Village 1br,175
430,Garage Designer Loft,451
431,Best City Area Columbia U Upper West Side C Park,165
432,Your own apartment off Park Avenue,250
433,Artsy 1 bedroom Apt. 20 min to 42nd Grand Central!,77
434,Lower East Side 2 Bed Apt.,250
435,Astoria-Private Home NYC-,129
436,"BIG, COMFY , PRIV. ROOM, BIG APT, YARD, GREAT LOC.",98
437,Park Slope Apartment,150
438,CHARMING PRIVATE BEDROOM EAST VILLAGE,95
439,City Room - Semi Private Bedroom,55
440,Cozy apartment in a brownstone,300
441,Female Only Clean15min to Manhattan,42
442,Greenpoint Spacious Loft,125
443,Private E. Village Townhouse Stay,175
444,Harlem/Hamilton Heights Cozy Room,75
445,Incredible Prime Williamsburg Loft!,255
446,Large  Loft Style  Studio  Space,72
447,Hancock Town House!-Stuyvesant Mews,165
448,Entire Apt in Heart of Williamsburg,165
449,Clinton Hill + Free Coffee = #smile,75
450,"Nice, cozy, neat apt Greenpoint,BK",130
451,PRIVATE and SUNNY Williamsburg Apt!,139
452,Purple Room for 2/3 in brownstone $1450 per month,88
453,Red Room for two in Brownstone for $1355/mo,80
454,"Chelsea living, 2BR best location",150
455,LOCATION LOCATION LOCATION UWS 60's,200
456,In the heart of East Village,200
457,Sunny 15min to Manhattan LADY only,42
458,Surfer room 15mins to downtown NYC!,90
459,Manhattan Penthouse-Max.12 guests,295
460,Prime Williamsburg 3 BR with Deck,450
461,Beautiful Brooklyn Oasis ,130
462,Blue Room in Awesome Artist's Apartment!,89
463,Cool & Spacious Harlem Artist Flat,198
464,☆ STUDIO East Village ☆ Own bath! ☆ Sleeps 4 ☆,99
465,Greenpoint Loft / Le Chez Andrea,46
466,"*SoHo: Clean, Safe, Private, Peaceful Bedroom (A)*",140
467,Amazing Brownstone in Best Brooklyn,500
468,Couldn't Be Closer To Columbia Uni2,75
469,Lady only Curtain-divided room,33
470,Nice Manhattan Apt Near Central Park and Subway,250
471,LG Private Room/Family Friendly,60
472,Spacious Quiet rm - 20mins to Midtown,75
473,"3 BR, Beautiful Brooklyn Duplex",350
474,Spacious modern studio apartment in Manhattan,205
475,Gorgeous Duplex + Garden,219
476,CBG# 4Tiny room w/ huge window/AC,60
477,Charming upper west side apartment,185
478,Light-filled East Village Delight,190
479,"Sunny, quiet, legal homelike suite-Pk Slope South",105
480,Spacious Duplex in Brownstone!,250
481,Lovely Vintage Haven—Heart of UWS,175
482,Modern Space in Charming Pre-war,65
483,Warehouse Loft with Garden view,75
484, Affordable & Cozy ,37
485,Creative Vintage Loft in S. Williamsburg,85
486,Very close to Downtown Awesome Private Apartment,106
487,The Happy home!,79
488,"Fort Greene, Brooklyn: Front Bedroom",85
489,Gorgeous 1 bdrm in huge duplex!,170
490,"Sunny, cozy room in Lower East Side",115
491,Large Quiet Bedroom Near Columbia U,89
492,Cozy Pre-War Harlem Apartment,49
493,spacious studio,91
494,"Elegant 2-BR duplex, Union Square",400
495,Cozy private family home in Bushwick,150
497,Cosy Sunny 1brm in Prospect Heights,97
498,East Village bedroom w rooftop,100
499,Williamsburg Home Away From Home!,179
500,Brand New Beautiful Duplex Apartment with Garden,500
501,"PRIME, Luxury, Spacious 2 Bedroom Apt in Chelsea",429
502,SPACIOUS ALCOVE STUDIO/ JUNIOR ONE,189
503,High-end doorman bldg in the LES,120
504,Spring & Mulberry 2 Bedroom Apartment,300
505,Ultra Modern NYC Garden Apartment,107
506,Modern Garden Apartment in NYC,95
507,Gorgeous Entire Manhattan Townhouse,199
508,Cozy studio Apartment in Upper East,120
509,Historic classic central cozy Village clean NYU,199
510,A PRIVATE FLAT / APARTMENT- $SPECIAL$,125
511,Williamsburg bedroom by Bedford Ave,70
512,Clean and bright with a comfortable atmosphere,75
513,WEST VILLAGE LRG CLEAN SUNNY PRIVATE BDRM,100
514,Historic Brooklyn Studio Apartment,99
515,Comfort at Crossroads of Downtown,250
516,"""The Oasis"" on Bedford Williamsburg",350
517,"Large, sunny garden apartment.",170
518,UNION SQUARE/ E. VILL 1BR BEAUTIFUL,165
519,Hell's Kitchen Funky 80's Hideaway!,99
520,Room in Chic Modern High Line Luxury- New!,255
521,Family & Friends in New York City,169
522,Spacious & Comfy BK Brownstone,99
523,Large Luxury Upper East Side Studio,169
524,Chateau Style Brooklyn Loft for Singles or Couples,160
525,Lovely Brooklyn Brownstone 1BR!,215
526,Beautiful Grdn. Apt. in Park Slope,130
527,Sun-drenched East Village Penthouse,110
528,Columbus Circle Luxury Bldg - Private Room&Bath,150
529,Bright Private Bedroom in Williamsburg (Bedford L),65
530,"Spacious, Kid-Friendly, and 15-20 Mins. to Midtown",75
531,Quiet Chelsea Studio w/Charm,149
532,Large Room Overlooking Central Park,89
533,"Cheerful, comfortable room",50
534,Hospitality on Propsect Pk-12 yrs Hosting Legally!,43
535,"Prospect Pk*NYC in 5 stops* Cozy,Clean & Legal!",42
536,Loft Style Apt in Williamsburg,85
537,2 Beds over Bed-Stuy,139
538,"Sunny, Large, Park Slope Bedroom",105
539,Huge Bklyn Loft w Private Roofdeck,265
540,Quiet Jr Alcove Near Times Square!,149
541,Large room in elevator drman bldg,68
542,"Comfy, Cozy, Brooklyn close to Manhattan",99
543,Modern Bedroom in Hamilton Heights,75
544,Sunny Space in Williamsburg,100
545,Best Manhattan Studio Deal!   ,90
546,STYLISH EAST VILLAGE FLAT,160
547,Serene Park Slope Garden Apartment,190
548,Cozy and spacious - rare for NYC!,67
549,Beautiful UES apartment,190
550,St. James Pl Garden Studio 1block to PRATT &Gtrain,248
551,"Great, spacious apt in Williamsburg",100
552,Comfortable. Spacious. Private Room.,95
553,Modern Condo in Midtown,150
554,Ideal Brooklyn Brownstone Apartment,145
555,"A Cozy Oasis in Bushwick, NY",41
556,Private Entrance - Private Parking,120
557,Yankee Stadium Oasis 2 stops to Manhattan!,50
558,"Sunny, Spacious Studio in Ft.Greene",157
559,Williamsburg Exposed Brick Loft,195
560,Bright Modern Charming Housebarge,70
561,Central Bedford Avenue Apartment,185
562,Welcome to Brooklyn! Bed-Stuy,145
563,Sunnyside NYC/ AC room/ city views/ near Midtown,50
564,Greenpoint Waterfront Loft,185
565,East Village House -- Unique!,250
566,2-bedroom share in heart of Greenwich Village!,80
567,1 Bedroom Pre War apt,230
568,Quiet One Bedroom in Park Slope,100
569,CreaTive Live-In Artspace/Birdsnest,40
570,RARE Penthouse Oasis featured on DesignSponge,200
571,New Clean Spacious Bed & Breakfast,80
572,"Sunny, calm room in Victorian home",79
573,Modern Unique Studio in NYC,95
574,"2 Bed, 2 Bath Apartment on Central Park West",300
575,"Luxury Furnished 1 bedro, Bay Ridge",100
576,Your Haven in the Upper West Side,80
577,"Wonderful Studio In Brooklyn, NY!!!",110
578,A Cozy Brooklyn Hideaway,172
579,✿✿✿ COUNTRY COTTAGE IN THE CITY✿✿✿,199
580,✿✿✿ COUNTRY COTTAGE IN THE CITY✿✿✿,199
581,"Lovely Bdr in Harlem, Manhattan",100
582,THE BEST DEAL ON THE HUDSON RIVER!!,55
583,Lovely HUGE Master Bed + Study,75
584,Newly Reno’d Chic Quiet Exec 1BR,146
585,1 Bedroom in prime Flatiron,250
586,Large Artist Floorthru- Greenpoint,116
587,Gorgeous PermaGO Private Room in FiDi - 1/2,150
588,CBG Helps Haiti Rm #3,120
589,BEST DEAL IN CHELSEA 1 bdrm NYC,199
590,Lovely Apartment,150
591,Artsy Loft-like Harlem Apartment,69
592,Harlem/Manhattan Classic Apartment,300
593,"BEAUTIFUL APARTMENT, GREAT LOCATION",230
594,Quiet sunny studio Midtown,125
595,Charming room in Victorian home,79
596,Brooklyn B & B close to Manhattan,130
597,The Notorious B.N.B. { The Erhart },239
598,Sunny cozy multileveled apartment!,75
599,Sunny 2 bedroom Williamsburg Duplex w/ 3 beds,220
600,ROOM WITH KITCHENETTE #2,80
601,Alpha-Bet City entire floor large cool 2br -L.E.S,288
602,"Your Haven Awaits At ""Emma's Place""",135
603,"Spacious, Kid-Friendly 2 BR in West Village",225
604,Great Bedroom in Downtown Manhattan,110
605,Beautiful Brownstone,100
606,1BDR - Hell's Kitchen Hideaway,130
607,COMFY ROOM/COFFEE AND BAGEL/WEEKLY DISCOUNT,89
608,Oversized Studio in Park Slope,200
609,Apt with EmpireState view-Subway around the corner,80
610,Zen Yankee Stadium Pad 5 Minutes To Manhattan!,50
611,Monthly Apartment Rental,135
612,Wonderfully inviting East Village,90
613,TURQUOISE: One-Bedroom Apt. in Soho,270
614,"Lovely pied-à-terre, in an historic building",110
615,"Spacious, well furnished, high fl. beautiful views",145
616,NYC Studio in Heart of Times Square,179
617,rooms for rent in Queens with piano,55
618,Large Sunny Luxe Prvt Room/Midtown,110
